18	wan-jie-shen-zhu	万界神主	今天 00:03 更新	热血|冒险|后宫	从现代穿越到南州的古神——叶辰，成为了怡红院的主人。并在前往北狄的途中，答应帮助雪影族的圣女，摆脱困境，却没想到……	0	3	0
19	yao-zhe-wei-wang	妖者为王	今天 00:03 更新	热血|冒险|奇幻	【每周二、五更新】少年萧浪，天生觉醒超级神魂，却被误认为废神魂。受尽屈辱，多次被陷害，无奈叛出家族，从此一飞冲天，天要压我，我就破了这个天！	0	3	0
20	wan-jie-xian-zong	万界仙踪	今天 00:02 更新	热血|冒险|奇幻	一花一世界，所谓凡世，不过仙魔掌中一粒沙尘。仙魔一念，人世千载。万里河山，不过镜花水月，人死之后，魂归万界星空。星空深处，便是传说中的仙魔道场。	0	3	0
21	tian-cai-gao-shou	天才高手	07月10号 更新	热血|恋爱|冒险	傲娇女总裁，娇羞小秘书，南非黑钻公主，特种兵女保镖，和爱吃胡萝卜的屌丝美男会擦出怎样的火花？是宿命纠缠还是心机暗算，走进天才高手，带你领略不一样的助理人生。	0	3	0
22	yi-nian-shi-guang	一念时光	今天 00:02 更新	恋爱	子虚乌有的孩子，将偏执铁腕的现世帝王与穷困美女漫画家牢牢捆绑在一起。她没有反抗的权利，一切只因他叫做【宫欧】（每周二、五更新，群号560782598）	0	3	0
23	jian-zhi-shen-xian	兼职神仙	07月10号 更新	热血|校园|奇幻	小富即安、脾气惫懒，叶扬天出身名门，却活出了一副韦小宝般的玩世不恭、飞扬跳脱。只是，虽然他身为纨绔，心里念兹在兹的，反倒是一份堪称“清纯”的情愫，繁华落尽，人间竟还剩他一个情痴。不料，叶扬天路遇神仙！突然间天下大乱！吕洞宾度化了并不怎么霸道的总裁预备役，天庭多了一尊神仙，凡间却展开一场荒诞闹剧。。神仙还是凡人？生活中最重要的是爱情还是其他一切乱七八糟的玩意儿？叶扬天从一开始就知道答案，可是，一抬脚…	0	3	0
24	jue-se-yi-fei	绝色医妃	前天 00:03 更新	恋爱	第一次出任务就碰上事故，谁成想这一跃，竟成了那个溺水而亡的七公主……为了能在饱受排挤的异国他乡生存下去，取代了原本懦弱无知公1主的她，应该何去何从？	0	3	0
25	biao-ren	镖人	06月04号 更新	热血|历史	“镖”，指的是受雇的武夫，其保护的目标，亦指官府悬赏通缉的目标。隋末民乱前夕，江湖上掀起了一阵腥风血雨，各路人马的恩怨情仇逐渐展开。	0	3	0
26	shen-hua-zhan-xian	神话战线	2017-01-29 更新	热血|冒险|奇幻	【每周日更新，官方群号：289762837】宇宙诞生初始即伴生有一包罗万象之档案，其名为全知圣典《阿卡夏记录》。作为整个宇宙睿智的象征，乃旧神与旧日支配者（邪神）都渴求的达至宇宙根源之物。时至今日，获得圣典认可的战士——天选者们，仍在为了对抗追求破灭与混沌的旧日支配者而战斗在最前线……	0	3	0
27	hun-tu-mo-lu	婚途陌路	2017-06-13 更新	恋爱	一晚错误的旖旎与缠绵，让他食髓知味，从此不眠不休求合体！都说他生性薄凉没有长性，却独独宠她至深。可她心里清楚，他所眷恋的，只是她的身体。他的心里有个人，真正让他爱入骨髓~~~，意外怀孕，她求他，至少让她留下孩子。可他说：打掉。她笑着转身，他对那个女人用情至深，却对她残忍至此……当她消失不见，，他方惊觉，她早已烙在脉络深处，成为他的心尖宠	1	3	0
28	zhong-hua-shen-yi	中华神医	昨天 11:05 更新	后宫|搞笑	神秘少年林昊拥有绝世医术，个性刚强，却被一双美腿吸引到小诊所应聘成为小村医，在成功为村民们医治各种奇难杂症后一炮而红，无数身份背景雄厚又身患病痛的患者慕名前来，小村医也因此风声水起。金鳞岂是池中物，一遇风云便化龙，且看林昊如何演绎传奇人生！	0	3	0
29	ru-gu-nuan-hun	入骨暖婚	今天 00:02 更新	恋爱	一场因报恩，而引发的爱恨纠葛。游走与哥哥和弟弟之间，她犹如一只无助的小白兔。对于自己的女人是占有，对于不属于自己的女人呢？（每周二、五更新，粉丝群：561412113）	0	3	0
30	shi-long-yi	噬龙蚁	昨天 00:01 更新	热血|冒险	讲的是男主角郑浪死后转生到异界，成为一只蚂蚁。并得到古老的召唤师传承，和异界的小伙伴相遇，一起冒险的故事。	0	3	0
